,date_posted,playtime,review,helpful_funny,recommended
0,Posted: September 10,26.4 hrs on record,"The Good:- Good optimization/Excellent Graphics- Crossplay with PC/Xbox One- Side Quests and Exploration in the campaign instead of just being linear and collecting collectables- Now has character skins/Emotes- Has quick melee (knife) instead of it being limited to certain weapons (ex: can melee with lancer)- Playable Jack and his new upgradable arsenal- Halo Reach and Terminator Characters- No season pass in the very beginning- Co-op in every game mode- Good Storyline and voice acting- GoW: Judgement stuff- User Friendly Tutorial- Horde Playable Characters have built in perks and loadouts- More than one execution for some weapons- Has Regular/Ranked/Classic/Social playlists)- THE GRUB KILLER IS BACK BABYThe Bad:- Characters you find in the main story are unavailable to play, including: (Baird, Cole, Paduk, Clayton Carmine, Lizzie Carmine, Oscar, Cog Gear, Onyx Guard, Nomads, etc.)- You cant earn any EXP towards your level in the campaign regardless of difficulty- Horde Playable Characters have built in perks and loadouts.... (No Classic Horde)- You can't earn EXP Offline, nor can you play Escape, Horde, or can customize offline versus against bots- No Arcade Mode for campaign- No fun mutators for custom games and campaign (ex: Infinite Ammo, Headless enemies, Lazer Bullets, make enemies stronger, etc.)- Wonky Ai (ex: dying in the campaign because Del decides to wait a few seconds before he picks me up or he ran to a far away location where he cant even help me)- Lack of free cosmetics- In-game bugs that make the game unplayable and you have to restart- Grindy progression system, makes it hard to get unlockablesThe Ugly:- Microtransactions- Microtransaction system similar to Fortnite- Expensive Microtransactions (ex: about $8 dollars for a spray/waving)- Alot of characters and skins, including the ones that are already in-game are most likely to be to be unlocked through microtransactions- You are required to do the entire Microsoft Account Verification featureQ:Was this game worth it to me personally? A: Yes, i played and love gears of war and halo for life and im glad they are coming to the PC. I would have liked it to have alot of the features that were in gears of war 3, this game is still fun and worth playing however. I just hate how its monetized, grindy, and has alot of locked content. I have to pay extra money to be able to get things i want, that should already be available from the beginning. The Ultimate edition, doesnt feel so ultimate.",179 people found this review helpful4 people found this review funny,Recommended
1,Posted: September 9,31.0 hrs on record,"Gears 5 is the Metro: Exodus of the Gears of War saga, providing players with new open-world segments while retaining what made the past games so much fun (frenetic action, amazing scripted events, interesting twists and splitscreen co-op). Make no mistake though, this is truly an AAA Microsoft game which, on top of having worthwhile campaign, includes a suite of multiplayer modes: Versus, Horde mode (now deeper with class-based system) and the all new Zombies-like Escape mode.The campaign feels a lot more tactical with the addition of Jack as a teammate, who can stun enemies, make you invisible, pick up weapons for you, and a lot more. It felt almost like playing XCOM. I REALLY recommend playing on INSANE difficulty so that you feel the need to explore all the powers at your disposal. They make the gameplay that much more interesting. This is now my favorite campaign in all Gears games and it also happens to be the longest.The game feels like it was made for both PC and consoles instead of feeling like a port. It's really well optimized and includes a game browser, and many video settings to help you reach that glorious cinematic 60 FPS.This game is definitly worth the money, get it if you can.",198 people found this review helpful11 people found this review funny,Recommended
2,Posted: September 9,7.1 hrs on record,"Gears 5 is an amazing experience. The game runs flawlessly and I have no issues getting high fps on my 120hz 1440 monitor. The gameplay is buttery smooth and the crossplay with Xbox players ensures that there is a constant playerbase to play with at all times. My queue times are usually less than 30 seconds for quick play and ranked play.So far, I have enjoyed this Gears game more than all of the previous titles. The new maps are gorgeous and The Coalition is promising that all future updates are going to be free. I have already played 20+ hours on the windows game pass and forsee myself playing hundreds more on Steam!Thanks Microsoft for finally putting gamers first and releasing a quality title for all PC gamers.",258 people found this review helpful21 people found this review funny,Recommended
3,Posted: September 9,43.1 hrs on record,"its good to be back bb,love everything besides the new loot system and the overkill crimson omen.thank you philly spencer for releasing it on steam <3",268 people found this review helpful18 people found this review funny,Recommended
4,Posted: September 9,37.9 hrs on record,"""Fahz, is it?""""Yeah..""""Shut the f*ck up Fahz""Something I was thinking throughout the entire game and Marcus said it. 10/10",253 people found this review helpful141 people found this review funny,Recommended
5,Posted: September 10,29.9 hrs on record,"First review on Steam. Long time Gears fan, played since Gears 1. I have to say, the predatory microtransactions are very unfitting for a $60 game like this. Very scummy.",177 people found this review helpful9 people found this review funny,Not Recommended
6,Posted: September 9,16.2 hrs on record,"I've had a good time with Gears 5 so far. This is more an ""first impressions"" review, but I'm glad this series is on Steam after I had to skip 4 because my XOne was busted and dusted by the time it came out.The game's run completely perfectly for me so far, no slowdown, and the keyboard controls work fine. It's absolutely surreal to be using a PS4 controller for a Gears game, but thats the world we're in.Gameplay is snappy, chaotic, and PVP is a blast but I suck beans at it. Horde is back, now with character abilities, and I actually think it adds some nice flavor to the gameplay, actually. 50 waves, and prepare to be there a long while. A new mode, Escape, is actually pretty interesting. I'd liken it to the Hunk mode from RE2, very limited ammo and you have to escape before you're poisoned or killed, with two other buddies backing you up. It's a lot of fun. Campaign is here, and honestly I'm pretty damn interested in the story so far! I always was interested in the Gears story though, and I know that makes me an outlier. But I think some people will find this interesting as well.I do have gripes though. I am NOT a fan of the PVP Roster which they gutted for seasonal, limited unlocks with the ""Tour of Duty"" system. It seems way too grindy. I'm sure they'll tone it down but yeesh I don't see myself completing the vast majority of this stuff, and it sucks, because the roster basically NEEDS to be bolstered by this Tour system. I think its a cool idea at its core, but I'd prefer it to be toned down and maybe find some special way to unlock characters in past tours. Maybe they will, I can't say for certain yet. Another smaller issue is the online connectivity right now, it seems patchy and you might get kicked for no reason a few times, but I'm sure thats a pretty quick fix, so I can bear it.Also I loathe that stupid Fortnite-esque Store. I definitely prefer it to lootboxes, but damn Coalition, 'no lootboxes' is not a high bar to clear, and definitely not something to wear like a badge.All in all, good game. Glad Microsoft is really being buddy-buddy with stuff like Nintendo and Steam right now, they're definitely looking pretty alright. You know, for a massive corporation and everything.",70 people found this review helpful7 people found this review funny,Recommended
7,Posted: September 10,29.7 hrs on record,"Split-screen was removed from Horde, Versus and escape, 1 day before launch.  I love this game but can't help but feel lied to and disappointed as the Xbox version has this feature and I know Split-screen isn't that popular anymore but it's still the main my I like to play and to be promised it and to be taken away exclusive to the PC platform has left a sour taste in my mouth.I love this game but I can't help but feel it's more of a stripped down version. Again I know this doesn't bother everyone but for people like me in the same situation I cannot recommend this game untill this is fixed or an alternative is in place.",564 people found this review helpful61 people found this review funny,Not Recommended
8,Posted: September 9,14.5 hrs on record,"This review will be negative until the fix the cosmetics situation. The unlockable skins are just from the story and the grind to get them is insane. You can only complete 3 challenges a day for the tour of duty, unless you pay real money to be allowed to progress. The microtransactions are insanely over priced. For 5 skins and a blood splatter it costs 25 dollars. A thumbs up emote is 10 dollars. Etc. In order to get any cool skins you have to pay, usually 10- 25 dollars. Until this is changed I cant recommend the game, unless you dont care about cosmetics. The servers right now are very inconsistent, expect to be dropped from matches very often. There barely anything to unlock and what is unlockable is very underwhelming. They just made it so you have to pay for actual good skins, which would be tolerable if the prices werent so high. I really hope they fix this ♥♥♥♥ cause the game has great gameplay. Unless alot of people complain they are just going to continue this greedy bs. Dont sit there are take it.",504 people found this review helpful63 people found this review funny,Not Recommended
9,Posted: September 10,6.0 hrs on record,"Sum up+ Good variety of classic and new enemies in campaign and horde modes.+ Good voice acting with an interesting story to follow.+ Keeps the humor and atmosphere that defines the series.+ Great optimization, you don't need a beefy pc to get good frames.+ Characters are more than skins now, with load-outs to further personalize them.+ While not the best Gears game, it does enough to be a good Gears game overall.- Microtransactions on skins are overpriced.- Few playable characters on the launch, and no Dom for multiplayer.- While it retains its humor and atmosphere, it ends up losing part of its original charm. Sacrificing that gory and brutal aspect.- The game requires Xbox Live (Silver) to be played and Windows 10 May updated to run adequately even though is released on Steam and therefore, should not need those. Introduction Gears 5 is the sequel to Gears of War 4 and continues the story following a new character, Kait Diaz. The game does a good job at being a Gears game even if it's not the best entry. Featuring four game modes (five if you count the map build) and more customization options for each character, it allows for a more personalized experience thanks to the load-outs and perks. With free updates and with the new modes such as escape and map builder, Gears 5 will become an excellent game in due time. Gameplay The gameplay is that of your average third-person shooter. You shoot enemies, move around the level and continue to do so until you die or finish it. What sets gears apart as a franchise is that Gears games had always excelled in one central focus through the years: Forcing the player to move from their position. To do this they introduced several different elements that range from options to consequences.For example, some monsters such as the new enemies like Snatchers can incapacitate the player at a distance by shooting them with a needle from their sting, forcing them into cover. At the same time, the Snatcher approaches the player to execute them in melee combat. If a player is down near it, it can digest it, capturing it and complicating the situation further. Likewise, Wardens and Berserkers will kill the player with ease unless they are moving constantly. At the same time, melee weapons can eliminate lesser enemies with ease, which encourages players to get into melee.Enemies come in great variety and numbers, usually swarming players. While moving too much can led to an early death, so does sticking in one place for too long. It is because of this insistence in making the player abandon cover that the game manages to not become stale, and it allows for more dynamic gameplay in the shooter genre. Multiplayer The multiplayer is solid and offers a good chunk of variety to it. Horde is fun as always to try to survive all the waves while building defenses and the combinations of enemies are an adequate challenge to the players while scape is a restrictive mode in which players barely have any weapon and must focus on escaping alive by the skin. As for versus, is just what you expect of versus, players fight each other until a team wins. It does feel good to chainsaw people through.Another good aspect is that the future updates will all be free, with no season pass. The new maps all look great and some of them feature their gameplay elements such as passing trains that can kill players and enemies alike should they get on the rails. This creates a more chaotic battlefield while making maps play out differently not only in layout but also actual gameplay.Players get cards for each character as rewards for leveling up with them or playing certain modes. With these, they can make their character better and have a better chance at succeeding in these modes. These are Horde and Escape. While some cards are shared among characters, others are unique to each of them which is nice as different compositions come together in the game.If Coalition adds beast mode, it will further elevate the game. I believe this is probably as the elements for the mode are in the game already, all they need to do is just expand upon it and release it. New characters for the different modes are on their way and with these updates, the game will begin to shine and start to shine. Horde Horde is the game mode where players team-up and attempt to survive all waves. To do so, they each have an amount of money which they can spend on individual upgrades to their characters, defenses, weapons, or share with others. As the waves pass by, you will need to make choices with compromises on what you will upgrade and what you don't. Is that health regen bonus more important that a fence, or do you think you will need spare ammo for your favorite weapon? While these choices might seem inconsequential, they shape the end of the run with each decision.Each number of waves, bosses will appear. These are can be pretty dangerous and will wipe the entire team unless they are fought with quick thinking and precaution. Enemies will also get a permanent bonus after every 10 waves such as extra health or bonus damage. Horde features higher difficulties to play in and each of them will, in turn, yield better rewards.  Escape Escape is a contrast to Horde. While in Horde the player is armed and can get a more solid footing with time, in Escape they are vulnerable. The match starts in an area surrounded by enemies and with barely any weapons while a toxic gas spreads across the level. With the gas on one side and enemies on the other, the players will need to move fast and aggressive as the goal is to escape before is too late.Corridors tend to be close and the map reflects that of a maze trapping rats. Players don't know which way the exit is and must explore as they find their way across the layout. Enemies such as Wardens and Siren can appear and will, which add an extra layer to the sensation of being vulnerable and trapped. New maps can be created on the map builder and there are weekly maps to try out. Story The story follows Kait as she tries to discover the secrets of her mother and Queen Myrrah. It follows up after Gears of War 4 and explores the question that been asked through the series. Without spoiling anything, the story starts slowly but quickly picks up the pace and starts getting right to the point of the central focus. It is a nice touch that there is an entire act base on the premise of exploring, as it gives more freedom to take in the surroundings and do side missions which are a feature at some points. Some Notes The game runs well on any system that meets the requirements. It runs like butter. Frames are high and the optimization for Steam is superb. There are some extra requirements, however. The game recommends having Windows 10 May Update to perform well without any sort of crashes or glitches. At the same time, it requires an Xbox live membership(Free Silver). Sometimes the game can stagger for a bit but this is very rare and only on the campaign cutscenes. What Makes It Special What makes Gears 5 special is that it has a huge amount of freedom when it comes to dispatching enemies. Whenever that be by beating them up to death, executions, breaking thin ice and dropping then in cold waters, blowing them up or controlling them and force them to kill each other, there are tons of ways to dispatch them that are fun and entertaining. Conclusion Gears 5 is an adequate sequel to Gears of War 4 and while it might not be the best Gears game, it is a solid with a good selection of game modes, free updates and characters skins that behave as individual load-outs, each with their perks and quirks. The current state of the game is quite good, and it will become fantastic after some updates.  This is a game that I recommend to everyone who enjoys third-person shooters, the Gears series and wave-survival games.",19 people found this review helpful,Recommended
