,date_posted,playtime,review,helpful_funny,recommended
0,Posted: July 4,24.2 hrs on record,Bets game ever,No one has rated this review as helpful yet,Recommended
1,Posted: July 4,33.8 hrs on record,One of the greatest gifts Poland has delivered to the world <3,No one has rated this review as helpful yet,Recommended
2,Posted: July 4,8.5 hrs on record,great game,No one has rated this review as helpful yet,Recommended
3,Posted: July 4,252.1 hrs on record,One of the best games I have ever played. Just buy it already.,No one has rated this review as helpful yet,Recommended
4,Posted: July 4,42.8 hrs on record,"If you like Skyrim, this might be worth a shot.",No one has rated this review as helpful yet,Recommended
5,Posted: July 4,106.8 hrs on record,Absolutely one of the best RPG's and/or video games ever.,No one has rated this review as helpful yet,Recommended
6,Posted: July 4,0.3 hrs on record,"This is not just a game, it's one of the best experiences in my life. Thank you CDPR.",No one has rated this review as helpful yet,Recommended
7,Posted: July 4,243.3 hrs on record,"Huge world, hundreds of hours of content.",No one has rated this review as helpful yet,Recommended
8,Posted: July 4,94.8 hrs on record,"To start off, this is my favorite RPG of all-time. So I might be a tiny little bit biased lol.The Story Simply fantastic. Even if you haven't played any of the other Witcher games, you'll be fine. This game puts you up to speed with everything that has happened since then. The characters, the dialogue, and the story is greatly done. As the story escalates you really feel that you have multiple choices to make, so this gives it a whole other layer of intrigue.The CombatIt's good combat - it's fun. There's also a lot of depth to it. There's different oils, elemental runes, and many other things that can vary combat in your favor. It's also rewarding if you play your cards right.The GraphicsOne of the best looking games I've ever played, even in Normal graphics settings. Just the textures and the resolution really give this game the justice it deserves. Truly a sight to behold.In ConclusionSo, this is a simple review, not to tell you that you should maybe buy The Witcher III, but what I am saying is that you should buy this game as you're reading this review. Thanks for reading.",1 person found this review helpful,Recommended
9,Posted: July 4,48.5 hrs on record,"Breathtaking, top noch gameplay and story, ideal combination.  Can't stop playing!",No one has rated this review as helpful yet,Recommended
10,Posted: July 4,38.9 hrs on record,"This game is magnificent, I will definitely replay it again when I have the time to not rush through the story like I did the first time. The story is polished, the graphics are amazing, even 4 years after it released. Can't wait for project red to release cyberpunk.",No one has rated this review as helpful yet,Recommended
